,carrier,month,year,total_gallons
0,AA,1,2019,286544730.0
1,DL,1,2019,273706863.0
2,OO,1,2019,8150037.0
3,UA,1,2019,270112946.0
4,WN,1,2019,164881708.0
5,AA,2,2019,264286537.0
6,DL,2,2019,248074450.0
7,OO,2,2019,7503491.0
8,UA,2,2019,244752372.0
9,WN,2,2019,148670558.0
10,AA,3,2019,301971007.0
11,DL,3,2019,299952005.0
12,OO,3,2019,8558824.0
13,UA,3,2019,297848082.0
14,WN,3,2019,180277656.0
15,AA,4,2019,291008622.0
16,DL,4,2019,296111146.0
17,OO,4,2019,8262780.0
18,UA,4,2019,289084422.0
19,WN,4,2019,173423712.0
20,AA,5,2019,319972133.0
21,DL,5,2019,318173288.0
22,OO,5,2019,8838081.0
23,UA,5,2019,309415363.0
24,WN,5,2019,179914831.0
25,AA,6,2019,327437203.0
26,DL,6,2019,336183657.0
27,OO,6,2019,8915291.0
28,UA,6,2019,320238151.0
29,WN,6,2019,179131347.0
30,AA,7,2019,338595043.0
31,DL,7,2019,351133142.0
32,OO,7,2019,9566241.0
33,UA,7,2019,328989147.0
34,WN,7,2019,185099344.0
35,AA,8,2019,338196501.0
36,DL,8,2019,351127851.0
37,OO,8,2019,8790766.0
38,UA,8,2019,324688428.0
39,WN,8,2019,176971032.0
40,AA,9,2019,303854847.0
41,DL,9,2019,303891710.0
42,OO,9,2019,8834786.0
43,UA,9,2019,292912423.0
44,WN,9,2019,162505172.0
