,Train r2,Train RMSE,Test r2,Test RMSE
XGBoost_Base,0.23024132424889088,41.779740287725495,0.03661306266292397,49.04804155825629
XGBoost_StandardScale,0.22811677230323102,41.837357089290315,0.036203100642833164,49.05847645969121
XGBoost_MinMaxScale,0.23053080346270938,41.77188360222549,0.03582993472019613,49.067972848375696
XGBoost_RobustScale,0.2306496908784964,41.76865647945312,0.036294237846304256,49.05615690561533
XGBoost_PCA,0.23024132424889088,41.779740287725495,0.03661306266292397,49.04804155825629
DecisionTree_Base,0.012217223121919307,47.32811030498881,0.011626724223216978,49.680023373616734
DecisionTree_StandardScale,0.015202284226033758,47.25654386323995,0.015044936550964394,49.594041714883936
DecisionTree_MinMaxScale,0.01463863054756609,47.27006568304466,0.011948589371288842,49.671933530185804
DecisionTree_RobustScale,0.023158748310628252,47.06525710740798,0.011841008971387512,49.67463763088614
DecisionTree_PCA,0.014768655354554516,47.26694678467342,0.014489275032212201,49.60802895959385
KNeighbours_StandardScale,0.23344627768195292,41.692672876001055,-0.14722640450497892,53.523667175550514
KNeighbours_MinMaxScale,0.23344627768195292,41.692672876001055,-0.14722640450497892,53.523667175550514
KNeighbours_RobustScale,0.23344627768195292,41.692672876001055,-0.14722640450497892,53.523667175550514
KNeighbours_PCA,0.23344627768195292,41.692672876001055,-0.14722640450497892,53.523667175550514
